,Title,PublishedAt,Views,Likes,Comments,Month
262,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16T14:00:04Z,6081,170,26,Mar
263,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09T21:58:10Z,4156,180,15,Mar
264,Why You DON'T Want to be a WFH Data Scientist,2019-03-03T22:14:01Z,795,33,12,Mar
265,Welcome To My Channel | Ken Jee | Data Science,2019-03-03T01:00:17Z,1424,35,8,Mar
266,Where YOU Should Start With Data Science Projects,2019-02-19T03:23:50Z,16320,339,17,Feb
267,Watch This Before Applying to Data Science Jobs,2019-02-04T23:40:34Z,1481,66,13,Feb
268,My Top 5 Data Science Resources for 2019,2019-01-05T22:07:08Z,3680,121,17,Jan
269,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18T02:01:15Z,827,37,6,Dec
270,The Best Way to Predict NBA Minutes Played,2018-12-11T02:39:35Z,4187,107,14,Dec
271,Demystifying Data Science Roles,2018-11-30T01:22:49Z,1128,53,5,Nov
272,How to Simulate NBA Games in Python,2018-11-19T23:31:49Z,17530,391,54,Nov
273,Should You Get A Masters in Data Science?,2018-11-14T01:39:33Z,20481,306,135,Nov
274,How I Became A Data Scientist From a Business Background,2018-11-12T00:26:08Z,6404,198,23,Nov
275,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10T16:39:52Z,8588,193,17,Jul
276,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18T20:04:51Z,18806,292,41,Nov
